How many employees does your company or organization have?,Do you know the options for mental health care available under your employer-provided coverage?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Were you aware of the options for mental health care provided by your previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Do you currently have a mental health disorder?,What is your age?,What country do you work in?,Do you work remotely?,Have you had mental health benefits before,How easy is it to ask for mental health leave?,Mental health effects on work when treated effectively,Sharing mental health issue with family and friends
-0.593597905594566,-1,1,0,1,0,1,-1,1,0,0,0,0,39,49,1,0,2,-1,4
-0.7276935270069581,2,1,1,0,0,1,1,1,0,0,2,2,29,50,0,2,1,1,4
-0.7276935270069581,-1,1,0,-1,1,-1,-1,2,1,1,0,0,38,49,2,0,0,-1,4
-0.7706041258589237,-1,-1,0,1,1,1,-1,2,1,0,0,2,43,49,1,1,-1,1,1
-0.7276935270069581,2,1,0,1,1,1,1,1,1,2,2,2,43,50,1,-1,0,1,4
1.9095203607700877,1,1,2,2,1,0,0,2,1,2,0,2,42,49,1,0,1,-1,4
-0.593597905594566,0,1,1,0,0,2,1,2,0,0,0,0,30,50,1,1,1,-1,1
1.9095203607700877,2,1,1,1,1,1,1,0,1,2,2,2,37,50,2,1,2,1,4
-0.593597905594566,0,2,0,2,2,0,0,1,2,2,2,2,44,50,1,-1,-2,1,4
-0.7706041258589237,-1,-1,1,1,1,1,-1,2,0,0,2,2,30,50,2,1,-1,1,5
-0.593597905594566,1,1,0,1,1,1,0,2,1,2,-1,2,28,50,0,0,2,1,5
0.1215787419381922,2,0,0,2,1,0,0,0,2,0,2,2,34,50,1,0,-1,0,0
0.1215787419381922,1,2,2,0,0,1,2,0,0,0,2,2,30,50,2,1,2,1,4
0.1215787419381922,2,0,0,2,2,1,0,2,2,2,0,1,44,10,1,-1,1,-1,0
0.1215787419381922,2,2,0,-1,0,-1,-1,0,0,0,2,2,35,50,2,-1,2,1,4
0.1215787419381922,0,1,1,1,1,1,1,1,1,0,2,2,52,50,1,1,0,1,1
1.0155495513541395,0,2,2,1,1,1,1,0,1,1,0,0,34,49,0,0,-1,-1,4
-0.7706041258589237,-1,-1,-1,-1,-1,-1,-1,0,2,2,-1,2,25,50,2,-1,-1,3,2
0.1215787419381922,0,0,0,2,0,0,0,2,2,0,2,2,31,50,1,-1,-1,1,2
-0.7276935270069581,-1,1,2,0,0,1,2,1,2,1,2,0,26,50,1,2,2,-1,2
1.9095203607700877,0,1,2,0,1,1,-1,0,1,0,0,0,35,50,0,1,1,-1,1
-0.593597905594566,2,1,2,-1,1,1,-1,1,0,0,-1,0,25,21,1,2,2,-1,1
-0.763452359383596,2,1,1,1,1,1,1,0,1,2,2,0,33,10,1,1,-1,1,4
-0.7706041258589237,-1,-1,0,1,1,1,-1,1,0,-1,0,0,38,50,1,-1,-1,-1,1
0.1215787419381922,2,1,-1,-1,-1,-1,-1,1,0,1,0,0,42,21,0,-1,2,-1,5
-0.593597905594566,0,0,1,1,1,-1,1,0,2,1,-1,2,27,33,1,0,-2,1,4
0.1215787419381922,0,0,0,-1,1,0,0,1,2,1,0,1,35,21,0,0,-1,1,2
1.0155495513541395,0,1,0,1,1,0,0,1,0,2,2,1,34,49,0,-1,0,1,1
0.1215787419381922,2,2,2,0,0,-1,2,0,0,0,0,2,30,50,1,1,2,3,5
1.9095203607700877,1,0,-1,-1,-1,-1,-1,0,1,0,-1,1,31,50,0,-1,2,1,4
-0.7706041258589237,-1,-1,0,-1,1,2,-1,0,1,0,0,0,37,15,1,1,-1,-1,4
-0.593597905594566,1,1,0,1,1,0,0,2,0,1,0,2,36,49,1,0,2,-1,2
0.1215787419381922,0,0,0,1,0,0,0,0,2,0,0,0,33,21,0,0,1,-1,4
-0.593597905594566,1,2,1,1,1,1,1,2,1,2,2,2,44,50,2,1,2,1,4
0.1215787419381922,2,2,2,1,0,1,0,1,2,2,0,1,29,49,0,0,1,0,4
0.1215787419381922,1,1,0,-1,0,1,1,2,0,0,2,1,29,49,1,0,1,1,5
1.9095203607700877,2,2,0,1,1,2,-1,2,1,2,-1,0,44,10,2,1,0,-1,5
